model_group,clip_id,total_observations,failures_before,retained_observations,retained_failures,minimum_risk_at_same_clip_retention,rejected_failures,rejected_observations,in_reference_failure_set
UACANet,case10_1,1704,547,1378,221,0.16037735849056603,326,326,False
UACANet,case11,904,19,890,5,0.0056179775280898875,14,14,False
UACANet,case12_2,1984,378,1778,172,0.09673790776152981,206,206,False
UACANet,case13_1,784,112,769,97,0.12613784135240572,15,15,False
UACANet,case13_3,1408,17,1406,15,0.010668563300142247,2,2,False
UACANet,case14_2,1200,1182,594,576,0.9696969696969697,606,606,True
UACANet,case14_4,1160,993,727,560,0.7702888583218707,433,433,True
UACANet,case14_6,1600,1520,591,511,0.8646362098138748,1009,1009,True
UACANet,case1_2,1728,0,1728,0,0.0,0,0,False
UACANet,case20_7,1360,466,1177,283,0.24044180118946473,183,183,False
UACANet,case20_9,1200,310,1022,132,0.12915851272015655,178,178,False
UACANet,case24_1,1200,6,1199,5,0.004170141784820684,1,1,False
UACANet,case24_3,1216,0,1216,0,0.0,0,0,False
UACANet,case24_5,1200,6,1197,3,0.002506265664160401,3,3,False
UACANet,case25_2,1088,24,1084,20,0.01845018450184502,4,4,False
UACANet,case29_1,1712,203,1635,126,0.07706422018348624,77,77,False
UACANet,case2_3,1200,0,1200,0,0.0,0,0,False
UACANet,case2_6,792,0,792,0,0.0,0,0,False
UACANet,case2_9,896,0,896,0,0.0,0,0,False
UACANet,case31,1464,8,1464,8,0.00546448087431694,0,0,False
UACANet,case32_2,800,1,800,1,0.00125,0,0,False
UACANet,case32_4,1480,179,1391,90,0.06470165348670022,89,89,False
UACANet,case32_6,1368,20,1366,18,0.013177159590043924,2,2,False
UACANet,case34_2,992,7,991,6,0.006054490413723511,1,1,False
UACANet,case35_2,720,0,720,0,0.0,0,0,False
UACANet,case35_8,928,228,927,227,0.24487594390507011,1,1,False
UACANet,case36_2,1200,913,865,578,0.6682080924855491,335,335,True
UACANet,case36_4,1024,962,484,422,0.871900826446281,540,540,True
UACANet,case37_2,1272,98,1236,62,0.05016181229773463,36,36,False
UACANet,case38_2,2032,875,1697,540,0.3182086034177961,335,335,False
UACANet,case39_2,2160,154,2124,118,0.05555555555555555,36,36,False
UACANet,case3_1,1584,95,1542,53,0.03437094682230869,42,42,False
UACANet,case40,1272,242,1153,123,0.10667823070251518,119,119,False
