scheme,model,scan_rule,direction,tau,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
historical_clip,Combined,prefix,A,0.899815,case10_1,case10,3408,1357,2741,690,0.2517329441809559,0.8042840375586855,False,True,False,False,0.2517329441809559
historical_clip,Combined,prefix,A,0.899815,case11,case11,1808,69,1768,29,0.016402714932126698,0.9778761061946902,True,True,True,False,0.016402714932126698
historical_clip,Combined,prefix,A,0.899815,case12_2,case12,3968,869,3439,340,0.09886594940389648,0.8666834677419355,True,True,True,False,0.09886594940389648
historical_clip,Combined,prefix,A,0.899815,case13_1,case13,1568,219,1547,198,0.1279896574014221,0.9866071428571429,True,True,True,False,0.1279896574014221
historical_clip,Combined,prefix,A,0.899815,case13_3,case13,2816,34,2810,28,0.0099644128113879,0.9978693181818182,True,True,True,False,0.0099644128113879
historical_clip,Combined,prefix,A,0.899815,case14_2,case14,2400,2376,752,728,0.9680851063829787,0.31333333333333335,False,False,False,False,0.9680851063829787
historical_clip,Combined,prefix,A,0.899815,case14_4,case14,2320,2114,1235,1029,0.8331983805668016,0.5323275862068966,False,True,False,False,0.8331983805668016
historical_clip,Combined,prefix,A,0.899815,case14_6,case14,3200,3098,990,888,0.896969696969697,0.309375,False,False,False,False,0.896969696969697
historical_clip,Combined,prefix,A,0.899815,case1_2,case1,3456,3,3453,0,0.0,0.9991319444444444,True,True,True,False,0.0
historical_clip,Combined,prefix,A,0.899815,case20_7,case20,2720,940,2275,495,0.2175824175824176,0.8363970588235294,False,True,False,False,0.2175824175824176
historical_clip,Combined,prefix,A,0.899815,case20_9,case20,2400,610,2020,230,0.11386138613861387,0.8416666666666667,True,True,True,False,0.11386138613861387
historical_clip,Combined,prefix,A,0.899815,case24_1,case24,2400,178,2377,155,0.06520824568784182,0.9904166666666666,True,True,True,False,0.06520824568784182
historical_clip,Combined,prefix,A,0.899815,case24_3,case24,2432,0,2432,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,prefix,A,0.899815,case24_5,case24,2400,55,2385,40,0.016771488469601678,0.99375,True,True,True,False,0.016771488469601678
historical_clip,Combined,prefix,A,0.899815,case25_2,case25,2176,101,2148,73,0.03398510242085661,0.9871323529411765,True,True,True,False,0.03398510242085661
historical_clip,Combined,prefix,A,0.899815,case29_1,case29,3424,463,3214,253,0.07871810827629122,0.9386682242990654,True,True,True,False,0.07871810827629122
