model,allocation,tie_rule,score,budget,cutoff,global_cutoff_tie_size,global_cutoff_tie_retained,clips,source_groups,N,B,A,E,admitted_clips,zero_retained_clips,risk_pass_clips,joint_pass_clips,high_risk_clips,under_half_coverage_clips,pooled_risk,pooled_risk_ci_lower,pooled_risk_ci_upper,pooled_risk_bootstrap_valid,retention,retention_ci_lower,retention_ci_upper,retention_bootstrap_valid,joint_fraction,joint_fraction_ci_lower,joint_fraction_ci_upper,joint_fraction_bootstrap_valid,compliance_admitted,compliance_admitted_ci_lower,compliance_admitted_ci_upper,compliance_admitted_bootstrap_valid,mean_clip_risk,mean_clip_risk_ci_lower,mean_clip_risk_ci_upper,mean_clip_risk_bootstrap_valid
Combined,global,identity,confidence_deficit,203887,0.89981,1,1,86,53,232272,49141,203887,20756,86,0,63,63,23,7,0.10180148807918112,0.06687797720545495,0.1491028404829585,2000,0.8777941379072811,0.8165424141845639,0.9244307721368382,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.1576705532218167,0.09350531942730866,0.24050709639079426,2000
Combined,global,identity,entropy,203887,0.024527,2,2,86,53,232272,49141,203887,45206,86,0,52,50,34,5,0.22172085517958476,0.1432890198271194,0.3185138877875426,2000,0.8777941379072811,0.818916506704483,0.926934719317392,2000,0.5813953488372093,0.45,0.717948717948718,2000,0.6046511627906976,0.48148148148148145,0.7294264705882352,2000,0.23531832589762355,0.1558811200154543,0.3292320559063674,2000
Combined,global,identity,negative_area_fraction,203887,-0.0,36051,7666,86,53,232272,49141,203887,20756,86,0,67,67,19,6,0.10180148807918112,0.0492510202458823,0.1852254868267101,2000,0.8777941379072811,0.8217309249036941,0.9225934904978677,2000,0.7790697674418605,0.6562230603448276,0.8842206477732792,2000,0.7790697674418605,0.6562230603448276,0.8842206477732792,2000,0.13504693519056182,0.07250496850566651,0.21773831051115705,2000
Combined,global,sha256,confidence_deficit,203887,0.89981,1,1,86,53,232272,49141,203887,20756,86,0,63,63,23,7,0.10180148807918112,0.06687797720545495,0.1491028404829585,2000,0.8777941379072811,0.8165424141845639,0.9244307721368382,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.1576705532218167,0.09350531942730866,0.24050709639079426,2000
Combined,global,sha256,entropy,203887,0.024527,2,2,86,53,232272,49141,203887,45206,86,0,52,50,34,5,0.22172085517958476,0.1432890198271194,0.3185138877875426,2000,0.8777941379072811,0.818916506704483,0.926934719317392,2000,0.5813953488372093,0.45,0.717948717948718,2000,0.6046511627906976,0.48148148148148145,0.7294264705882352,2000,0.23531832589762355,0.1558811200154543,0.3292320559063674,2000
Combined,global,sha256,negative_area_fraction,203887,-0.0,36051,7666,86,53,232272,49141,203887,20756,86,0,63,63,23,7,0.10180148807918112,0.06685247965243211,0.15039243894490853,2000,0.8777941379072811,0.8189619057533022,0.9230614740817555,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.15717775149675456,0.09269193403201512,0.24025747845094594,2000
Combined,half_per_clip,identity,confidence_deficit,203887,,,,86,53,232272,49141,203887,20756,86,0,66,66,20,0,0.10180148807918112,0.06205128990384731,0.1583510822760414,2000,0.8777941379072811,0.8274211971101781,0.9186019872495617,2000,0.7674418604651163,0.6447103750756201,0.8709884201819684,2000,0.7674418604651163,0.6447103750756201,0.8709884201819684,2000,0.14899953298371357,0.08447608445184605,0.23447042994288256,2000
Combined,half_per_clip,identity,entropy,203887,,,,86,53,232272,49141,203887,45195,86,0,53,53,33,0,0.22166690372608355,0.14400331957109547,0.31855711800419023,2000,0.8777941379072811,0.8315318076021111,0.9199366867006284,2000,0.6162790697674418,0.49424949290060854,0.7341772151898734,2000,0.6162790697674418,0.49424949290060854,0.7341772151898734,2000,0.22855302531565844,0.14836152867979097,0.3243127225415742,2000
Combined,half_per_clip,identity,negative_area_fraction,203887,,,,86,53,232272,49141,203887,20756,86,0,67,67,19,0,0.10180148807918112,0.05972468602727642,0.16018420201112737,2000,0.8777941379072811,0.828137549330647,0.9196481738032057,2000,0.7790697674418605,0.6562230603448276,0.8842206477732792,2000,0.7790697674418605,0.6562230603448276,0.8842206477732792,2000,0.14628420081657165,0.08131030705319035,0.23012112898652484,2000
Combined,half_per_clip,sha256,confidence_deficit,203887,,,,86,53,232272,49141,203887,20756,86,0,66,66,20,0,0.10180148807918112,0.06205128990384731,0.1583510822760414,2000,0.8777941379072811,0.8274211971101781,0.9186019872495617,2000,0.7674418604651163,0.6447103750756201,0.8709884201819684,2000,0.7674418604651163,0.6447103750756201,0.8709884201819684,2000,0.14899953298371357,0.08447608445184605,0.23447042994288256,2000
