scheme,clip,source_group,direction_A_role
historical_clip,case100,case100,calibration
historical_clip,case10_1,case10,evaluation
historical_clip,case10_2,case10,calibration
historical_clip,case11,case11,evaluation
historical_clip,case12_1,case12,calibration
historical_clip,case12_2,case12,evaluation
historical_clip,case12_3,case12,calibration
historical_clip,case13_1,case13,evaluation
historical_clip,case13_2,case13,calibration
historical_clip,case13_3,case13,evaluation
historical_clip,case14_1,case14,calibration
historical_clip,case14_2,case14,evaluation
historical_clip,case14_3,case14,calibration
historical_clip,case14_4,case14,evaluation
historical_clip,case14_5,case14,calibration
historical_clip,case14_6,case14,evaluation
historical_clip,case19,case19,calibration
historical_clip,case1_2,case1,evaluation
historical_clip,case20_6,case20,calibration
historical_clip,case20_7,case20,evaluation
historical_clip,case20_8,case20,calibration
historical_clip,case20_9,case20,evaluation
historical_clip,case23,case23,calibration
historical_clip,case24_1,case24,evaluation
historical_clip,case24_2,case24,calibration
historical_clip,case24_3,case24,evaluation
historical_clip,case24_4,case24,calibration
historical_clip,case24_5,case24,evaluation
historical_clip,case24_6,case24,calibration
historical_clip,case25_2,case25,evaluation
historical_clip,case27,case27,calibration
historical_clip,case29_1,case29,evaluation
historical_clip,case29_2,case29,calibration
historical_clip,case2_3,case2,evaluation
historical_clip,case2_5,case2,calibration
historical_clip,case2_6,case2,evaluation
historical_clip,case2_8,case2,calibration
historical_clip,case2_9,case2,evaluation
historical_clip,case30,case30,calibration
historical_clip,case31,case31,evaluation
historical_clip,case32_1,case32,calibration
historical_clip,case32_2,case32,evaluation
historical_clip,case32_3,case32,calibration
historical_clip,case32_4,case32,evaluation
historical_clip,case32_5,case32,calibration
historical_clip,case32_6,case32,evaluation
historical_clip,case34_1,case34,calibration
historical_clip,case34_2,case34,evaluation
historical_clip,case35_1,case35,calibration
historical_clip,case35_2,case35,evaluation
historical_clip,case35_3,case35,calibration
historical_clip,case35_8,case35,evaluation
historical_clip,case36_1,case36,calibration
historical_clip,case36_2,case36,evaluation
historical_clip,case36_3,case36,calibration
historical_clip,case36_4,case36,evaluation
historical_clip,case37_1,case37,calibration
historical_clip,case37_2,case37,evaluation
historical_clip,case37_3,case37,calibration
historical_clip,case38_2,case38,evaluation
historical_clip,case39_1,case39,calibration
historical_clip,case39_2,case39,evaluation
historical_clip,case39_3,case39,calibration
historical_clip,case3_1,case3,evaluation
historical_clip,case3_2,case3,calibration
historical_clip,case40,case40,evaluation
historical_clip,case42,case42,calibration
historical_clip,case43,case43,evaluation
historical_clip,case44_1,case44,calibration
historical_clip,case47_2,case47,evaluation
historical_clip,case47_3,case47,calibration
historical_clip,case47_4,case47,evaluation
historical_clip,case47_5,case47,calibration
historical_clip,case48,case48,evaluation
historical_clip,case50_1,case50,calibration
historical_clip,case50_2,case50,evaluation
historical_clip,case50_3,case50,calibration
historical_clip,case50_4,case50,evaluation
historical_clip,case51_1,case51,calibration
historical_clip,case51_10,case51,evaluation
historical_clip,case51_2,case51,calibration
historical_clip,case51_3,case51,evaluation
historical_clip,case51_4,case51,calibration
historical_clip,case51_5,case51,evaluation
historical_clip,case51_6,case51,calibration
historical_clip,case51_7,case51,evaluation
historical_clip,case51_8,case51,calibration
historical_clip,case51_9,case51,evaluation
historical_clip,case52,case52,calibration
historical_clip,case54_1,case54,evaluation
historical_clip,case54_2,case54,calibration
historical_clip,case56_1,case56,evaluation
historical_clip,case56_2,case56,calibration
historical_clip,case5_4,case5,evaluation
historical_clip,case5_6,case5,calibration
historical_clip,case60,case60,evaluation
historical_clip,case61_2,case61,calibration
historical_clip,case61_3,case61,evaluation
historical_clip,case63_2,case63,calibration
historical_clip,case63_3,case63,evaluation
historical_clip,case64,case64,calibration
historical_clip,case66_2,case66,evaluation
historical_clip,case66_3,case66,calibration
historical_clip,case66_4,case66,evaluation
historical_clip,case66_5,case66,calibration
historical_clip,case66_6,case66,evaluation
historical_clip,case66_8,case66,calibration
historical_clip,case66_9,case66,evaluation
historical_clip,case67,case67,calibration
historical_clip,case68_1,case68,evaluation
historical_clip,case68_2,case68,calibration
historical_clip,case68_3,case68,evaluation
historical_clip,case68_4,case68,calibration
historical_clip,case68_5,case68,evaluation
historical_clip,case68_6,case68,calibration
historical_clip,case68_7,case68,evaluation
historical_clip,case6_2,case6,calibration
historical_clip,case6_3,case6,evaluation
historical_clip,case70,case70,calibration
historical_clip,case71_1,case71,evaluation
historical_clip,case71_2,case71,calibration
historical_clip,case71_5,case71,evaluation
historical_clip,case72_1,case72,calibration
historical_clip,case72_3,case72,evaluation
historical_clip,case72_4,case72,calibration
historical_clip,case74_1,case74,evaluation
historical_clip,case74_2,case74,calibration
historical_clip,case75_1,case75,evaluation
historical_clip,case79,case79,calibration
historical_clip,case7_2,case7,evaluation
historical_clip,case80_1,case80,calibration
historical_clip,case80_2,case80,evaluation
historical_clip,case80_3,case80,calibration
historical_clip,case80_4,case80,evaluation
historical_clip,case80_5,case80,calibration
historical_clip,case80_6,case80,evaluation
historical_clip,case80_7,case80,calibration
historical_clip,case80_8,case80,evaluation
historical_clip,case81_1,case81,calibration
historical_clip,case81_2,case81,evaluation
historical_clip,case83_2,case83,calibration
historical_clip,case83_3,case83,evaluation
historical_clip,case84,case84,calibration
historical_clip,case85_7,case85,evaluation
historical_clip,case85_8,case85,calibration
historical_clip,case86_1,case86,evaluation
historical_clip,case86_2,case86,calibration
historical_clip,case89,case89,evaluation
historical_clip,case8_1,case8,calibration
historical_clip,case8_2,case8,evaluation
historical_clip,case9,case9,calibration
historical_clip,case90_1,case90,evaluation
historical_clip,case90_3,case90,calibration
historical_clip,case91_1,case91,evaluation
historical_clip,case91_2,case91,calibration
historical_clip,case91_3,case91,evaluation
historical_clip,case91_4,case91,calibration
historical_clip,case91_5,case91,evaluation
historical_clip,case91_6,case91,calibration
historical_clip,case91_7,case91,evaluation
historical_clip,case93_1,case93,calibration
historical_clip,case93_2,case93,evaluation
historical_clip,case94,case94,calibration
historical_clip,case95_1,case95,evaluation
historical_clip,case95_2,case95,calibration
historical_clip,case95_3,case95,evaluation
historical_clip,case95_4,case95,calibration
historical_clip,case96_1,case96,evaluation
historical_clip,case96_2,case96,calibration
historical_clip,case97_1,case97,evaluation
historical_clip,case97_2,case97,calibration
historical_clip,case97_3,case97,evaluation
historical_clip,case99,case99,calibration
source_group,case100,case100,calibration
source_group,case10_1,case10,evaluation
source_group,case10_2,case10,evaluation
source_group,case11,case11,evaluation
source_group,case12_1,case12,calibration
source_group,case12_2,case12,calibration
source_group,case12_3,case12,calibration
source_group,case13_1,case13,evaluation
source_group,case13_2,case13,evaluation
source_group,case13_3,case13,evaluation
source_group,case14_1,case14,calibration
source_group,case14_2,case14,calibration
source_group,case14_3,case14,calibration
source_group,case14_4,case14,calibration
source_group,case14_5,case14,calibration
source_group,case14_6,case14,calibration
source_group,case19,case19,evaluation
source_group,case1_2,case1,calibration
source_group,case20_6,case20,evaluation
source_group,case20_7,case20,evaluation
source_group,case20_8,case20,evaluation
source_group,case20_9,case20,evaluation
source_group,case23,case23,calibration
source_group,case24_1,case24,evaluation
source_group,case24_2,case24,evaluation
source_group,case24_3,case24,evaluation
source_group,case24_4,case24,evaluation
source_group,case24_5,case24,evaluation
source_group,case24_6,case24,evaluation
source_group,case25_2,case25,calibration
source_group,case27,case27,evaluation
source_group,case29_1,case29,calibration
source_group,case29_2,case29,calibration
source_group,case2_3,case2,calibration
source_group,case2_5,case2,calibration
source_group,case2_6,case2,calibration
source_group,case2_8,case2,calibration
source_group,case2_9,case2,calibration
source_group,case30,case30,calibration
source_group,case31,case31,evaluation
source_group,case32_1,case32,calibration
source_group,case32_2,case32,calibration
source_group,case32_3,case32,calibration
source_group,case32_4,case32,calibration
source_group,case32_5,case32,calibration
source_group,case32_6,case32,calibration
source_group,case34_1,case34,evaluation
source_group,case34_2,case34,evaluation
source_group,case35_1,case35,calibration
source_group,case35_2,case35,calibration
source_group,case35_3,case35,calibration
source_group,case35_8,case35,calibration
source_group,case36_1,case36,evaluation
source_group,case36_2,case36,evaluation
source_group,case36_3,case36,evaluation
source_group,case36_4,case36,evaluation
source_group,case37_1,case37,calibration
source_group,case37_2,case37,calibration
source_group,case37_3,case37,calibration
source_group,case38_2,case38,evaluation
source_group,case39_1,case39,calibration
source_group,case39_2,case39,calibration
source_group,case39_3,case39,calibration
source_group,case3_1,case3,evaluation
source_group,case3_2,case3,evaluation
source_group,case40,case40,evaluation
source_group,case42,case42,calibration
source_group,case43,case43,evaluation
source_group,case44_1,case44,calibration
source_group,case47_2,case47,evaluation
source_group,case47_3,case47,evaluation
source_group,case47_4,case47,evaluation
source_group,case47_5,case47,evaluation
source_group,case48,case48,calibration
source_group,case50_1,case50,calibration
source_group,case50_2,case50,calibration
source_group,case50_3,case50,calibration
source_group,case50_4,case50,calibration
source_group,case51_1,case51,evaluation
source_group,case51_10,case51,evaluation
source_group,case51_2,case51,evaluation
source_group,case51_3,case51,evaluation
source_group,case51_4,case51,evaluation
source_group,case51_5,case51,evaluation
source_group,case51_6,case51,evaluation
source_group,case51_7,case51,evaluation
source_group,case51_8,case51,evaluation
source_group,case51_9,case51,evaluation
source_group,case52,case52,calibration
source_group,case54_1,case54,evaluation
source_group,case54_2,case54,evaluation
source_group,case56_1,case56,calibration
source_group,case56_2,case56,calibration
source_group,case5_4,case5,evaluation
source_group,case5_6,case5,evaluation
source_group,case60,case60,calibration
source_group,case61_2,case61,evaluation
source_group,case61_3,case61,evaluation
source_group,case63_2,case63,calibration
source_group,case63_3,case63,calibration
source_group,case64,case64,evaluation
source_group,case66_2,case66,calibration
source_group,case66_3,case66,calibration
source_group,case66_4,case66,calibration
source_group,case66_5,case66,calibration
source_group,case66_6,case66,calibration
source_group,case66_8,case66,calibration
source_group,case66_9,case66,calibration
source_group,case67,case67,evaluation
source_group,case68_1,case68,calibration
source_group,case68_2,case68,calibration
source_group,case68_3,case68,calibration
source_group,case68_4,case68,calibration
source_group,case68_5,case68,calibration
source_group,case68_6,case68,calibration
source_group,case68_7,case68,calibration
source_group,case6_2,case6,evaluation
source_group,case6_3,case6,evaluation
source_group,case70,case70,calibration
source_group,case71_1,case71,evaluation
source_group,case71_2,case71,evaluation
source_group,case71_5,case71,evaluation
source_group,case72_1,case72,calibration
source_group,case72_3,case72,calibration
source_group,case72_4,case72,calibration
source_group,case74_1,case74,evaluation
source_group,case74_2,case74,evaluation
source_group,case75_1,case75,calibration
source_group,case79,case79,evaluation
source_group,case7_2,case7,evaluation
source_group,case80_1,case80,evaluation
source_group,case80_2,case80,evaluation
source_group,case80_3,case80,evaluation
source_group,case80_4,case80,evaluation
source_group,case80_5,case80,evaluation
source_group,case80_6,case80,evaluation
source_group,case80_7,case80,evaluation
source_group,case80_8,case80,evaluation
source_group,case81_1,case81,calibration
source_group,case81_2,case81,calibration
source_group,case83_2,case83,evaluation
source_group,case83_3,case83,evaluation
source_group,case84,case84,calibration
source_group,case85_7,case85,evaluation
source_group,case85_8,case85,evaluation
source_group,case86_1,case86,calibration
source_group,case86_2,case86,calibration
source_group,case89,case89,evaluation
source_group,case8_1,case8,calibration
source_group,case8_2,case8,calibration
source_group,case9,case9,calibration
source_group,case90_1,case90,evaluation
source_group,case90_3,case90,evaluation
source_group,case91_1,case91,calibration
source_group,case91_2,case91,calibration
source_group,case91_3,case91,calibration
source_group,case91_4,case91,calibration
source_group,case91_5,case91,calibration
source_group,case91_6,case91,calibration
source_group,case91_7,case91,calibration
source_group,case93_1,case93,evaluation
source_group,case93_2,case93,evaluation
source_group,case94,case94,calibration
source_group,case95_1,case95,evaluation
source_group,case95_2,case95,evaluation
source_group,case95_3,case95,evaluation
source_group,case95_4,case95,evaluation
source_group,case96_1,case96,calibration
source_group,case96_2,case96,calibration
source_group,case97_1,case97,evaluation
source_group,case97_2,case97,evaluation
source_group,case97_3,case97,evaluation
source_group,case99,case99,calibration
